age,gender,marital,education,category,frequency,amount
2,0,1,1,19,2,120.0
2,0,1,1,20,2,137.235
2,0,1,1,3,1,207.52
2,0,1,1,18,1,190.0
1,0,3,2,3,2,730.05
1,0,3,2,5,4,350.2925
1,0,3,2,14,2,176.0
1,0,3,2,18,2,133.22500000000002
1,0,3,2,19,10,34.38699999999999
1,0,3,2,5,4,373.17500000000007
1,0,3,2,18,7,53.16714285714285
1,0,3,2,19,18,19.34277777777778
1,0,3,2,20,3,308.05333333333334
1,0,3,2,0,1,173.28
1,0,3,2,5,3,12.196666666666665
1,0,3,2,7,1,44.25
1,0,3,2,13,1,1446.41
1,0,3,2,18,10,62.33699999999999
1,0,3,2,19,7,10.805714285714284
1,0,3,2,20,4,82.8725
1,0,3,2,3,1,55.8
1,0,3,2,5,5,22.96
1,0,3,2,11,1,50.0
1,0,3,2,13,1,84.0
1,0,3,2,16,2,127.97
1,0,3,2,18,5,78.288
1,0,3,2,19,15,21.94066666666667
1,0,3,2,20,3,232.9333333333333
1,0,3,2,21,1,1129.86
1,0,3,2,3,4,356.52250000000004
1,0,3,2,5,4,53.175
1,0,3,2,16,1,379.9
1,0,3,2,18,1,49.45
1,0,3,2,19,11,21.43909090909091
1,0,3,2,20,1,11.9
1,0,3,2,5,1,24.9
1,0,3,2,12,1,800.0
1,0,3,2,16,1,379.9
1,0,3,2,18,1,108.3
1,0,3,2,19,4,69.4925
1,0,3,2,3,1,231.7
1,0,3,2,6,2,28.35
1,0,3,2,7,1,97.34
1,0,3,2,18,1,85.9
1,0,3,2,19,32,20.6434375
1,0,3,2,13,1,71.5
1,0,3,2,19,35,17.575142857142858
1,0,3,2,3,5,230.158
1,0,3,2,5,3,246.5633333333333
1,0,3,2,6,1,75.0
1,0,3,2,11,1,100.0
1,0,3,2,18,1,30.4
1,0,3,2,19,23,33.07565217391304
1,0,3,2,18,1,7.5
1,0,3,2,19,6,21.965
4,0,3,2,3,1,309.6
4,0,3,2,19,3,20.433333333333334
4,0,3,2,3,1,235.7
4,0,3,2,5,2,14.2
4,0,3,2,16,2,140.935
4,0,3,2,19,2,20.619999999999997
4,0,3,2,5,2,14.2
4,0,3,2,19,2,20.46
4,0,3,2,5,2,14.2
4,0,3,2,19,2,41.41
4,0,3,2,5,2,14.2
4,0,3,2,19,3,17.826666666666664
4,0,3,2,5,3,709.4666666666667
4,0,3,2,19,5,68.69399999999999
4,0,3,2,0,2,460.5
4,0,3,2,3,1,99.6
4,0,3,2,5,2,14.2
4,0,3,2,19,1,32.9
4,0,3,2,5,2,14.2
4,0,3,2,19,5,573.26
4,0,3,2,5,2,14.2
4,0,3,2,19,4,32.205
4,0,3,2,5,2,14.2
4,0,3,2,19,4,25.365
4,0,3,2,5,2,3.5
4,0,0,1,19,2,13.175
4,0,0,1,3,1,117.98
4,0,0,1,5,2,161.95
4,0,0,1,12,1,800.0
4,0,0,1,16,1,104.64
4,0,0,1,19,3,6.7
4,0,0,1,8,1,882.0
4,0,0,1,19,1,6.5
4,0,0,1,6,1,179.98
4,0,0,1,19,4,67.76
4,0,0,1,5,1,254.27
4,0,0,1,19,1,4.74
4,0,0,1,3,2,274.97499999999997
4,0,0,1,7,1,164.84
4,0,0,1,19,3,8.566666666666668
4,0,0,1,5,1,309.8
4,0,0,1,19,3,8.263333333333334
4,0,0,1,0,1,759.5
4,0,0,1,19,1,31.6
4,0,0,1,0,1,984.61
4,0,0,1,3,2,143.395
4,0,0,1,5,1,139.98
4,0,0,1,19,1,50.0
4,0,0,1,3,1,288.97
4,0,0,1,5,1,100.67
4,0,0,1,6,1,40.8
1,1,3,2,3,1,199.8
1,1,3,2,5,4,51.927499999999995
1,1,3,2,7,2,59.370000000000005
1,1,3,2,8,3,28.566666666666666
1,1,3,2,9,0,0.0
1,1,3,2,12,1,35.0
1,1,3,2,16,9,23.801111111111112
1,1,3,2,18,9,46.49666666666666
1,1,3,2,19,5,18.724
1,1,3,2,20,7,153.42857142857142
1,1,3,2,8,1,29.0
1,1,3,2,16,5,23.856
1,1,3,2,19,3,23.900000000000002
1,1,3,2,3,3,197.60666666666668
1,1,3,2,5,1,14.9
1,1,3,2,8,4,81.5
1,1,3,2,16,1,18.9
1,1,3,2,18,4,57.870000000000005
1,1,3,2,19,4,125.9575
1,1,3,2,20,1,82.0
1,1,3,2,5,3,188.13
1,1,3,2,8,3,19.966666666666665
1,1,3,2,16,1,18.9
1,1,3,2,18,1,65.8
1,1,3,2,19,7,151.93714285714285
1,1,3,2,5,4,55.11000000000001
1,1,3,2,6,1,461.91
1,1,3,2,8,1,29.0
1,1,3,2,16,2,22.9
1,1,3,2,18,1,52.9
1,1,3,2,19,2,89.01
1,1,3,2,3,1,1199.99
1,1,3,2,5,2,12.9
1,1,3,2,8,3,199.3033333333333
1,1,3,2,16,3,214.76666666666665
1,1,3,2,18,1,57.97
1,1,3,2,19,2,27.9
1,1,3,2,5,3,180.16666666666666
1,1,3,2,6,1,499.9
1,1,3,2,8,1,29.0
1,1,3,2,16,1,18.9
1,1,3,2,18,2,74.85
1,1,3,2,19,4,26.9375
1,1,3,2,5,2,10.4
1,1,3,2,8,1,29.0
1,1,3,2,16,2,22.9
1,1,3,2,18,2,97.33500000000001
1,1,3,2,19,2,27.9
1,1,3,2,3,1,1266.01
1,1,3,2,5,3,107.53333333333332
1,1,3,2,6,1,140.98
1,1,3,2,8,2,23.95
1,1,3,2,16,1,26.9
1,1,3,2,19,3,38.56666666666667
1,1,3,2,5,3,79.93333333333334
1,1,3,2,8,2,23.95
1,1,3,2,18,2,98.05
1,1,3,2,19,5,36.989999999999995
1,1,3,2,5,2,10.4
1,1,3,2,8,2,29.45
1,1,3,2,14,1,1025.0
1,1,3,2,18,1,97.75
1,1,3,2,19,3,27.566666666666663
1,1,3,2,5,4,16.175
1,1,3,2,7,1,197.07
1,1,3,2,8,1,21.9
1,1,3,2,16,1,26.9
1,1,3,2,18,1,23.99
1,1,3,2,19,4,26.65
1,1,3,2,3,1,1749.99
1,1,3,2,5,4,16.175
1,1,3,2,6,1,499.0
1,1,3,2,8,1,21.9
1,1,3,2,16,1,26.9
1,1,3,2,18,5,54.548
1,1,3,2,19,3,24.23333333333333
1,1,3,2,18,5,41.116
4,1,1,1,3,1,59.1
4,1,1,1,5,1,108.78
4,1,1,1,8,1,77.0
4,1,1,1,18,2,219.76
4,1,1,1,19,1,137.9
4,1,1,1,0,2,280.25
4,1,1,1,3,1,349.99
4,1,1,1,5,2,119.9
4,1,1,1,7,1,102.61
4,1,1,1,11,1,100.0
4,1,1,1,13,1,214.2
4,1,1,1,18,5,104.622
4,1,1,1,19,3,428.0833333333333
4,1,1,1,0,4,396.195
4,1,1,1,3,3,561.6
4,1,1,1,7,1,121.5
4,1,1,1,8,1,1.0
4,1,1,1,11,1,212.24
4,1,1,1,13,1,10425.0
4,1,1,1,16,1,8445.0
4,1,1,1,18,2,286.015
4,1,1,1,19,4,161.87
4,1,1,1,20,4,315.5825
